DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
1027273	2.593016362	Endozoicomonas										2109915	2.07763162	Simplicispira			
1867719	2.590472074	Phyllobacterium										2109914	2.075069116	Ottowia			
1014	2.585562144	Weeksella										204773	2.069194341	Herminiimonas			
635	2.585168832	Edwardsiella										109472	2.064632409	Bisgaardia			
47735	2.581872642	Bibersteinia										2494373	2.047121437	Flammeovirga			
2498451	2.563398316	Rheinheimera										79329	2.045728267	Chitinophaga			
310575	2.555217784	Advenella										207949	2.040897562	Bermanella			
41275	2.535978771	Brevundimonas										2202149	2.01590544	Thermomonas			
160825	2.533001799	Comamonas										81682	2.014562553	Methylovorus			
1589	2.524701676	Lactiplantibacillus										2109913	2.010516952	Melaminivora			
